MMSI,LAT,LON,TYPE
0,22.622155,121.42059,0
0,22.61659,121.422908,0
0,22.61659,121.422908,0
0,22.604537,121.435375,0
0,22.600847,121.44052,70
3,22.467807,120.44529,0
6,26.075768,119.723528,255
23,22.193152893295,120.944853871317,0
194,25.0301878651906,119.275637708202,0
423,24.3257335348883,118.118093200923,0
16603,22.395245,120.414122,0
100774,23.513445,119.597155,0
280003,23.453565,117.339273,0
316502,22.3526301253481,120.384034296446,0
316507,22.3505043798189,120.383540953243,0
440005,24.8881803939636,118.974210458773,0
442101,22.361363,120.593627,0
442102,22.361357,120.593578,0
443016,22.7917022792272,121.193851675493,0
460707,22.4713826799458,120.43448117077,0
460709,22.4708239533078,120.435412046692,0
480103,22.400473,120.93761,0
480104,22.40986,120.937067,0
480108,22.411938,120.935135,0
491801,23.0965032801036,121.382973931285,0
491802,23.096513,121.382953,0
491803,23.0967254090233,121.382937220621,0
491804,23.096393,121.38322,0
491805,23.09644,121.383048,0
491806,23.096432,121.38294,0
491809,23.0965341381432,121.383098005207,0
518811,26.636117,120.512572,0
518812,26.6260141828967,120.497151696812,0
525302,22.7920999219848,121.1933598503,0
525307,22.791938,121.193792,0
525308,22.791837,121.194005,0
561218,24.2525766353624,118.442857154662,0
561801,24.3267915643472,118.117657300957,0
561848,24.3748438536289,118.55268670619,0
562133,23.2386853079959,116.788263679148,0
575902,22.7539173315684,119.854409287716,0
575903,22.7453575146978,119.881399393897,0
575904,22.7344577243704,119.911040496389,0
575905,22.7298012277309,119.941616496773,0
575908,22.7330167595881,119.980792042707,0
760004,24.889043,118.972923,0
767901,22.467767,120.445407,0
770003,24.8911494977622,119.120045142034,0
770009,24.8912272056961,119.120183495354,0
792502,23.8788,121.638442,0
1001327,24.7671195966221,121.986907038422,0
1005183,24.7985899170877,121.872024451078,0
1005297,24.5787320478463,121.8967305509,0
1085580,23.4631618565234,117.552257506788,0
1122336,25.8854568182278,119.753065652177,0
1314798,26.1081115367639,119.81474257253,0
1690009,24.1452732303632,118.304973487819,0
1800002,24.5957750588921,118.541650556526,0
2005297,24.5756757306588,121.894595444716,0
2400004,23.35618,117.43948,0
3001327,24.7675598530143,121.986257524083,0
3005297,24.5787920393804,121.896199573982,0
3160018,22.8209512851838,117.789576424106,0
3660001,24.4800009778808,118.628222597099,0
4005183,24.7989121913902,121.873243570697,0
4005297,24.5778957342847,121.894939083271,0
4121003,26.325663,119.878552,255
4124061,25.14859,121.761877,0
4165550,23.864077,120.910822,0
4168022,22.3039699225966,120.211198752639,0
4168026,22.3032951043642,120.213287368193,0
4229003,24.2353741436952,118.439804330063,0
5005183,24.7972596621641,121.871510071608,0
5031981,23.318992,117.415775,0
6001327,24.7649624883806,121.99101397469,0
6005183,24.7931730929121,121.879412900012,0
6005297,24.5786192021079,121.89527291447,0
6016911,24.1452390283154,118.310334458112,0
6056135,26.8090292532092,120.557052677895,0
6198107,26.2412171076896,120.310034315182,0
6198124,26.082617,120.289603,0
6209311,26.185575,120.182953,0
6300005,24.8748761322461,119.113466722535,0
6980003,24.864508,118.824553,0
7005183,24.7988742395707,121.876030712846,0
8005183,24.7992132076164,121.872747845889,0
8290026,21.9598103747742,120.764089032771,0
8888888,24.8838719094862,119.309484665674,70
8980009,23.4282328321174,117.443107451231,0
9005051,24.7664410842431,122.148665785945,0
9005183,24.7985855504277,121.872318191472,0
9103099,22.467038,120.443457,0
9780016,24.4833962951294,118.624532193916,0
9966010,22.5594943058918,119.99043684074,0
