sarLAT,sarLON,aisLAT,aisLON,MMSI
23.0041143640793,120.142581610856,23.0012559320182,120.144679217304,416008079
22.9966456073522,120.161584928131,22.995762,120.158268,234610257
22.8126057101911,120.200894437481,22.811923,120.20124,309415000
22.8115996140864,120.200990138683,22.811923,120.20124,309415000
22.5825677221347,120.222747677331,22.582563,120.222567,354840000
22.6447986972572,120.226913360364,22.6451164732827,120.227163500609,525121069
22.6507853687176,120.233435548747,22.6516499701555,120.233433,677030300
22.5804880011799,120.235178586462,22.580767,120.23584,572439220
22.5891833480358,120.235923241145,22.5895630620253,120.236258611282,352003343
22.5679781460124,120.24068623862,22.568533,120.241333,477962600
22.5554779156167,120.242939910339,22.5561966528777,120.243027456916,636017415
22.5879603411724,120.247527073748,22.5879008353667,120.247611106531,370401000
22.5519650481731,120.247733932252,22.5495473961716,120.247429186746,416006738
22.5773141425299,120.249087517852,22.5779296363603,120.24980145733,353568000
22.5977830120041,120.254664088029,22.598155,120.254728,441032000
22.5130106768131,120.255678449414,22.51308,120.256157,563160100
22.6170366177476,120.255350229798,22.6192586670335,120.253151353424,416005365
22.5668979971475,120.255771462668,22.5672788656181,120.256169601381,370957000
22.5871059682458,120.257252541869,22.587247080885,120.257454209506,412476420
22.5368820759426,120.258468643594,22.5378012473583,120.259309464794,416492000
22.5266585886953,120.262921485319,22.5269312388748,120.263560876094,373651000
22.5787065312203,120.263039551968,22.5789426406958,120.263276202644,441867000
22.5191237848352,120.271482784053,22.5201524659586,120.27156877227,563235200
22.61278406708,120.274759517599,22.612643,120.27432,416005211
22.5328366438931,120.279009267715,22.5326580496937,120.279475665382,416456000
22.6155655009289,120.278720152996,22.615545,120.27876,677059700
22.6037708606312,120.27908363681,22.602245,120.283008,613617404
22.6150180243314,120.279982676542,22.614985,120.28045,525012370
22.5219044154036,120.282231394042,22.5230699698286,120.282289891516,416450000
22.6021241065214,120.283086564759,22.602245,120.283008,613617404
22.61357166524,120.284529236054,22.613827,120.28395,563236800
22.5997514631941,120.284596523654,22.6004715923198,120.282337346194,416000843
22.5927731219235,120.289175970995,22.592465,120.28948,538010267
22.4677426062955,120.290410619799,22.4710997931129,120.292912456426,538009643
22.4709406153909,120.292434168551,22.4710997931129,120.292912456426,538009643
22.6074907722906,120.292882748233,22.606345,120.292515,538009494
22.5454509555469,120.344491539265,22.5417230205553,120.343564309981,636021281
22.5379643398243,120.346597246436,22.5399395716599,120.346065123051,416028000
22.4817627412655,120.394959546949,22.4808508523289,120.397117036096,885284005
22.4608419764265,120.438912117545,22.4589369084919,120.439326625794,888517405
22.4701082982078,120.444311491466,22.4678216239106,120.443367426739,412441901
22.4480772791948,120.450578873873,22.446072,120.454063,613190800
21.5745213492205,120.675462474293,21.576155491827,120.675590904943,636017220
21.6305831332357,120.922991694155,21.6339330628079,120.92161093261,240626000
21.7511242002047,121.00587950684,21.7486912779404,121.007122258077,431833000
21.8573629844002,121.078515937137,21.8610476337002,121.077858544178,538007497
22.7906255534773,121.189557285907,22.791205,121.191988,416037603
22.7420615723763,121.189981834239,22.7421359497951,121.190090824091,416006891
22.3920806783062,121.235119828161,22.3894295862507,121.238575926907,373114000
22.0127679144469,121.241788532213,22.0148362627214,121.243336503636,636019594
21.8001372272833,121.295247669635,21.7989707796139,121.295733825166,636021038
22.1347438294992,121.312327024786,22.1326423691654,121.309376454896,372140000
22.1319566307835,121.31275971735,22.1326423691654,121.309376454896,372140000
22.4103390161252,121.349219156308,22.4119558611827,121.35038847422,538008489
23.0282742328188,121.441890400596,23.0322307211628,121.442734681939,416124000
22.3669592568679,121.494782386184,22.3641754851903,121.495172271776,538009225
22.461189270311,121.534838989287,22.4641374538183,121.533626225011,374273000
22.6820298492065,121.622429068032,22.6841538247177,121.620853969099,353726000
22.4905118491676,121.633805097995,22.4875898123843,121.635464788028,356480000
22.8315018345756,121.719712582401,22.83029735168,121.721178848417,518100992
22.8301850184408,121.719539335882,22.83029735168,121.721178848417,518100992
22.8292999640014,121.719947641567,22.83029735168,121.721178848417,518100992
22.8325398877928,121.720104347677,22.83029735168,121.721178848417,518100992
22.8301539623982,121.720220130536,22.83029735168,121.721178848417,518100992
22.7096736676383,121.779193846674,22.7119306598025,121.778536709267,538006474
23.0614288255559,121.86877093581,23.0602937755789,121.869064788304,477776500
23.0589563151758,121.868850649471,23.0602937755789,121.869064788304,477776500
22.0007641000755,122.152307857236,22.0037732037458,122.15382930697,371820000
22.1226060467283,122.2533329682,22.1201688936926,122.25425653313,205195000
23.0135337345447,122.273502780486,23.0170636484222,122.272509367672,372762000
23.0155430441731,122.273520552351,23.0170636484222,122.272509367672,372762000
23.2595158796994,122.297169859127,23.2581461893574,122.298428404582,235108988
23.2578062490136,122.296863553143,23.2581461893574,122.298428404582,235108988
22.2850294724034,122.303543188733,22.2821246496903,122.30541348232,440285000
23.1984222771174,122.3757618592,23.2004047652332,122.373664331811,636017941
22.6315237425884,122.425566833628,22.6348890305594,122.42412474383,538008389
22.7544325255248,122.588435863869,22.7589019304694,122.588595579357,373988000
22.7607644965916,122.588597832837,22.7589019304694,122.588595579357,373988000
22.7559477448864,122.589153526217,22.7589019304694,122.588595579357,373988000
22.3540948442415,122.598520872685,22.3543749972748,122.598100672151,538005171
22.8862925547297,122.630628929393,22.8894181514966,122.629055741819,352002042
23.9922740945187,119.930590671097,23.9908730962117,119.933800468688,477392800
23.9790700228365,119.935859760771,23.9788606466388,119.93593574861,235084529
24.0273227302864,119.9715021845,24.0267064367409,119.972342159593,431050000
